ORDER_ID,PRODUCT_ID,QUANTITY
9d228ab5-a4b9-471b-90c6-2bc9c98bae88,ef3e1509-19cb-441d-9165-0b35d3353e5b,8
9d228ab5-a4b9-471b-90c6-2bc9c98bae88,2526f9ac-dc6b-4819-8d80-f401f412b16d,4
9d228ab5-a4b9-471b-90c6-2bc9c98bae88,5c8a5d32-535e-400e-b017-8a11dc5cc547,9
9d228ab5-a4b9-471b-90c6-2bc9c98bae88,21f2dbcc-1adb-479e-8441-a258a4ecbe77,11
9d228ab5-a4b9-471b-90c6-2bc9c98bae88,72050b1c-3391-4699-a6ec-96a7262c588a,15
9d228ab5-a4b9-471b-90c6-2bc9c98bae88,dd1a4f56-4bfe-4bab-8cb3-4a5ba8d332e6,13
9d228ab5-a4b9-471b-90c6-2bc9c98bae88,b43c5ba6-7c01-41f1-b8f7-b05a6d9a265b,5
9d228ab5-a4b9-471b-90c6-2bc9c98bae88,e7d9cb3b-2ab4-4620-a36a-1c2a5e51476f,6
9d228ab5-a4b9-471b-90c6-2bc9c98bae88,e183818e-be8e-4bd7-8d99-4f889f4dcb56,4
bdf701f6-bcb3-40de-821e-9bea07aada28,1784b172-0cdf-4185-988c-1247fa38049b,6
bdf701f6-bcb3-40de-821e-9bea07aada28,34bfd3e2-b248-4580-89b3-7902cd3f1e7e,5
bdf701f6-bcb3-40de-821e-9bea07aada28,71636e84-09fe-4144-b4fe-d914e426eddf,1
bdf701f6-bcb3-40de-821e-9bea07aada28,fbcc7a50-7be8-49ab-a2dc-ba2c59f58a6b,6
b30da9c6-03a6-43a5-9dfa-ade808b83c6b,63f39a28-6be2-4fab-b752-b326d3c60c88,3
b30da9c6-03a6-43a5-9dfa-ade808b83c6b,b1624424-749b-47a3-9748-041eaa297e8a,16
b30da9c6-03a6-43a5-9dfa-ade808b83c6b,62befbc2-c436-4acc-a0f5-66dfa1a14dc2,15
b30da9c6-03a6-43a5-9dfa-ade808b83c6b,d726f9db-d391-4ab8-85bd-3907e35a51dd,4
b30da9c6-03a6-43a5-9dfa-ade808b83c6b,d6c9b5da-1364-4105-8af4-462e04605f7a,5
3aa29ab2-b0f1-41d6-82d1-5ba559a7f690,bff9d43f-71d7-4ede-b1bb-94d919157928,12
3aa29ab2-b0f1-41d6-82d1-5ba559a7f690,1c15e477-c428-4497-ab72-dd13bbdf12f6,10
3aa29ab2-b0f1-41d6-82d1-5ba559a7f690,b6849898-e4e3-4ae5-b4c8-ac0f63855f7b,14
3aa29ab2-b0f1-41d6-82d1-5ba559a7f690,24a9427e-e372-44f7-b58b-afbfde9648e7,14
3aa29ab2-b0f1-41d6-82d1-5ba559a7f690,b1624424-749b-47a3-9748-041eaa297e8a,16
3aa29ab2-b0f1-41d6-82d1-5ba559a7f690,c83cb11e-068a-499f-8c83-bfa4b89b991b,18
5671e4e0-e366-400f-9b24-758559e6c424,de16815a-e748-4978-9e9f-75610958590a,12
5671e4e0-e366-400f-9b24-758559e6c424,71192d67-373b-47a0-9d1c-69dabb2d4944,16
b3a5e06c-ff5a-48cb-8c14-14d349d38262,e67cceb0-6658-464a-a4e7-f038102cb436,3
0048c888-e374-4e15-9cc3-692d697f8fc8,0232cced-c0a5-43c1-866b-1d63e1d249ff,15
0048c888-e374-4e15-9cc3-692d697f8fc8,97265bc6-14c3-49e0-baf2-e67baa8adddf,11
0048c888-e374-4e15-9cc3-692d697f8fc8,b4a72923-bd3d-4ffe-b2b9-bbe06620ca3b,19
0048c888-e374-4e15-9cc3-692d697f8fc8,c1c0bc9d-a9f5-4f2a-84be-1f7eb0b6a818,19
0048c888-e374-4e15-9cc3-692d697f8fc8,27dfede0-265a-4edc-9f91-e23fd7a10f5c,7
0048c888-e374-4e15-9cc3-692d697f8fc8,6e2a7eb9-63e2-49c6-bb89-eb522949fe1b,12
8b85c4cf-2372-4e7a-acd4-c31a585e08d1,2029ae0e-57cb-4da0-bf78-41fdbe557966,13
8b85c4cf-2372-4e7a-acd4-c31a585e08d1,78d17717-b76c-421c-9532-07167a469dab,15
8b85c4cf-2372-4e7a-acd4-c31a585e08d1,fa3adc0f-feef-4038-a908-0fc2d432728d,3
8b85c4cf-2372-4e7a-acd4-c31a585e08d1,b79c2b93-de98-4237-af86-83bbe6fd4588,8
8b85c4cf-2372-4e7a-acd4-c31a585e08d1,7921281a-707c-466e-bbe4-4f42c5d654c5,16
8b85c4cf-2372-4e7a-acd4-c31a585e08d1,8b1ef46e-983c-456a-824b-261d794b0733,18
8aeee971-e0eb-4482-9717-984ff681de10,dcb3cfad-5e14-4b40-a642-b8aa4cb934e9,6
8aeee971-e0eb-4482-9717-984ff681de10,fe03c583-c7db-42eb-9bc7-477e17354122,5
8aeee971-e0eb-4482-9717-984ff681de10,ed7e3390-06d2-442a-9169-4342127dc0ee,8
8aeee971-e0eb-4482-9717-984ff681de10,8e224e4c-149d-4f75-9093-6cff30b1c5a2,18
8aeee971-e0eb-4482-9717-984ff681de10,dcb3cfad-5e14-4b40-a642-b8aa4cb934e9,3
8aeee971-e0eb-4482-9717-984ff681de10,f7abe0f6-bcfc-4ab9-9dc9-e82b435c46f2,9
8aeee971-e0eb-4482-9717-984ff681de10,e77f4d76-b491-4d59-ab04-b0685fce1a4e,12
a2cb0911-af4f-45c0-98db-85efabfece56,bf3c85a2-89db-442f-adcd-a708e6d9bb66,10
a2cb0911-af4f-45c0-98db-85efabfece56,05b2aa67-f14c-449d-a4bf-82107a27364e,8
a2cb0911-af4f-45c0-98db-85efabfece56,36bedadb-7467-4dce-ab28-738795175a9c,12
a2cb0911-af4f-45c0-98db-85efabfece56,e905635b-f835-4246-bcee-e1347e07a4e0,2
10e295c6-6049-4150-bee5-190196e2cf34,e2a7f82b-7694-407d-a4f4-fe4a8749ba62,10
10e295c6-6049-4150-bee5-190196e2cf34,63a5a7e8-c992-466d-868c-b0abc483f9d8,2
10e295c6-6049-4150-bee5-190196e2cf34,88e3386f-1a30-4324-9d10-5a7be2aaee67,7
10e295c6-6049-4150-bee5-190196e2cf34,1784b172-0cdf-4185-988c-1247fa38049b,19
947d5c1e-df71-475a-a785-ced0af2e13d8,d7728178-63dc-429b-a6d4-07db43e70982,4
947d5c1e-df71-475a-a785-ced0af2e13d8,e67cceb0-6658-464a-a4e7-f038102cb436,3
b9c7d909-9bfe-49c2-9b39-85fe6a5b962b,d9a1499e-d306-4e77-88a0-2a7e16d807d7,14
b9c7d909-9bfe-49c2-9b39-85fe6a5b962b,c639523b-6ed3-48d5-ae1b-351d5ee77036,6
b9c7d909-9bfe-49c2-9b39-85fe6a5b962b,97265bc6-14c3-49e0-baf2-e67baa8adddf,2
b9c7d909-9bfe-49c2-9b39-85fe6a5b962b,bf49709e-e3c1-4d74-9a09-795913ce8207,16
eb1a13a4-9d4b-4e9f-8276-5ddf7803bfeb,036fd5ac-e120-48e8-a91a-5da051a51adf,17
95dac633-d2f4-417f-90a7-a44b4e3ce931,cdda4ee2-6426-4579-b234-b91c35b7cfdf,8
e86b3335-c0ff-4636-9c9e-b54d6894852f,0b205c96-bcbb-46bc-a460-f515e67f1128,11
