ID,NAME,PRICE_PER_UNIT
46583976-e74b-4096-ae4e-4c72a593e5b5,acorn squash,8478
2526f9ac-dc6b-4819-8d80-f401f412b16d,adobo,8146
861fba9c-1605-47ef-b062-bd92e010e136,aioli,9210
b35900b3-d5d0-442e-8f31-0292083cd61f,ale,1620
4951b8a4-f0d2-4715-bda9-19cc2857dfd6,alfredo sauce,7654
78d17717-b76c-421c-9532-07167a469dab,alligator,442
e2d5bf7e-3259-4975-a877-71a75b36381e,allspice,6559
2167627f-19a6-4452-8cb6-4f737fed3120,almonds,10076
9fc3d2e6-2421-4a75-9d25-4ad29c866bd9,almond butter,4633
79db6e25-2971-469d-afc9-914fbd10da4b,almond extract,3651
e50fa8a8-4b95-449c-b8e4-5525621ac88b,almond paste,606
e67cceb0-6658-464a-a4e7-f038102cb436,amaretto,590
b8aa235b-94e7-45f8-b9fa-69bc495a6aa3,ancho chile peppers,5370
f9ab00be-0a15-4d0e-af2f-1fe25e8bb9be,anchovies,4334
2ab8a46f-c602-425f-8dd1-f781862c2c50,anchovy paste,9742
bf49709e-e3c1-4d74-9a09-795913ce8207,andouille sausage,9304
6aea3c97-d2c9-4e8e-8b14-bdfa42a5091d,angelica,5989
340c81e6-15ba-4383-a27f-3a21342a7dbd,apples,7589
0f41e222-967e-4166-9bc0-34fea9798b6a,apple butter,2621
dcb3cfad-5e14-4b40-a642-b8aa4cb934e9,apple pie spice,6868
29a124c3-fa0d-474d-91bb-bcbf26e9f9b5,applesauce,4027
7983b193-73e4-4881-a141-d41112222d96,apricots,2296
10ddd46d-3009-40ff-853e-3d8fbdc61652,aquavit,6525
eb115101-47d7-4ae2-a36c-4a58a001deff,artichokes,4936
bc2a8fc1-bd97-4377-a4f6-2b1bf7f40240,artificial sweetener,7244
64a6bc40-5ba2-4c6c-b9d7-c9448a0032b5,arugula,8304
7e0afc66-1a98-4866-aa65-c7caf5d6c9ba,asiago cheese,3551
c83cb11e-068a-499f-8c83-bfa4b89b991b,asparagus,6773
bac40d65-e79c-49df-aac5-d1b8dddf7f82,avocados,4481
2226219a-981f-4eee-892f-ca75c07c2244,bacon,306
367445fc-7417-41b4-845a-5a84080a12d0,bacon grease,2281
